word,ipa,parameter,description,alternative,comment,translation,glottocode,source
kaku,,1sg_a,1st singular transitive subject,,,,basa1287,Li1999
kaku,,1sg_s,1st singular intransitive subject,,,,basa1287,Li1999
"yakuan, kuan, kuanan",,1sg_o,1st singular transitive object,,,,basa1287,Li1999
maku,,1sg_p,1st singular possessive,,,,basa1287,Li1999
kita,,12du_a,1st dual inclusive transitive subject,,,,basa1287,Li1999
kita,,12du_s,1st dual inclusive intransitive subject,,,,basa1287,Li1999
tianan,,12du_o,1st dual inclusive transitive object,,,,basa1287,Li1999
mita,,12du_p,1st dual inclusive possessive,,,,basa1287,Li1999
yami,,1du_a,1st dual exclusive transitive subject,,,,basa1287,Li1999
yami,,1du_s,1st dual exclusive intransitive subject,,,,basa1287,Li1999
"yamian, mian, mianan",,1du_o,1st dual exclusive transitive object,,,,basa1287,Li1999
yami,,1du_p,1st dual exclusive possessive,,,,basa1287,Li1999
kita,,12pl_a,1st plural inclusive transitive subject,,,,basa1287,Li1999
kita,,12pl_s,1st plural inclusive intransitive subject,,,,basa1287,Li1999
tianan,,12pl_o,1st plural inclusive transitive object,,,,basa1287,Li1999
mita,,12pl_p,1st plural inclusive possessive,,,,basa1287,Li1999
yami,,1pl_a,1st plural exclusive transitive subject,,,,basa1287,Li1999
yami,,1pl_s,1st plural exclusive intransitive subject,,,,basa1287,Li1999
"yamian, mian, mianan",,1pl_o,1st plural exclusive transitive object,,,,basa1287,Li1999
"yami, nami",,1pl_p,1st plural exclusive possessive,,,,basa1287,Li1999
kisu,,2sg_a,2nd singular transitive subject,,,,basa1287,Li1999
kisu,,2sg_s,2nd singular intransitive subject,,,,basa1287,Li1999
misu,,2sg_o,2nd singular transitive object,,,,basa1287,Li1999
"isuan, suan, isuanan,suanan",,2sg_p,2nd singular possessive,,,,basa1287,Li1999
kimu,,2du_a,2nd dual transitive subject,,,,basa1287,Li1999
kimu,,2du_s,2nd dual intransitive subject,,,,basa1287,Li1999
"imu, imuan, imuanan",,2du_o,2nd dual transitive object,,,,basa1287,Li1999
-imu,,2du_p,2nd dual possessive,,,,basa1287,Li1999
kimu,,2pl_a,2nd plural transitive subject,,,,basa1287,Li1999
kimu,,2pl_s,2nd plural intransitive subject,,,,basa1287,Li1999
"imu, imuan, imuanan",,2pl_o,2nd plural transitive object,,,,basa1287,Li1999
-imu,,2pl_p,2nd plural possessive,,,,basa1287,Li1999
-ia,,3sg_m_a,3rd singular gender1 transitive subject,,,,basa1287,Li1999
-ia,,3sg_m_s,3rd singular gender1 intransitive subject,,,,basa1287,Li1999
-ia,,3sg_f_a,3rd singular gender2 transitive subject,,,,basa1287,Li1999
-ia,,3sg_f_s,3rd singular gender2 intransitive subject,,,,basa1287,Li1999
