word,ipa,parameter,description,alternative,comment,translation,glottocode,notes,source
rao,,1sg_a,1st singular transitive subject,,,,kusa1251,,TryonHackman1983
rao,,1sg_s,1st singular intransitive subject,,,,kusa1251,,TryonHackman1983
rao,,1sg_o,1st singular transitive object,,,,kusa1251,,TryonHackman1983
qua,,1sg_p,1st singular possessive,,Duals can be formed by modifying plural forms with the numeral two "karu".,,kusa1251,,TryonHackman1983
gita,,12du_a,1st dual inclusive transitive subject,,,,kusa1251,,TryonHackman1983
gita,,12du_s,1st dual inclusive intransitive subject,,,,kusa1251,,TryonHackman1983
gita,,12du_o,1st dual inclusive transitive object,,,,kusa1251,,TryonHackman1983
nada,,12du_p,1st dual inclusive possessive,,,,kusa1251,,TryonHackman1983
gami,,1du_a,1st dual exclusive transitive subject,,,,kusa1251,,TryonHackman1983
gami,,1du_s,1st dual exclusive intransitive subject,,,,kusa1251,,TryonHackman1983
gami,,1du_o,1st dual exclusive transitive object,,,,kusa1251,,TryonHackman1983
mami,,1du_p,1st dual exclusive possessive,,,,kusa1251,,TryonHackman1983
gita,,12pl_a,1st plural inclusive transitive subject,,,,kusa1251,,TryonHackman1983
gita,,12pl_s,1st plural inclusive intransitive subject,,,,kusa1251,,TryonHackman1983
gita,,12pl_o,1st plural inclusive transitive object,,,,kusa1251,,TryonHackman1983
nada,,12pl_p,1st plural inclusive possessive,,,,kusa1251,,TryonHackman1983
gami,,1pl_a,1st plural exclusive transitive subject,,,,kusa1251,,TryonHackman1983
gami,,1pl_s,1st plural exclusive intransitive subject,,,,kusa1251,,TryonHackman1983
gami,,1pl_o,1st plural exclusive transitive object,,,,kusa1251,,TryonHackman1983
mami,,1pl_p,1st plural exclusive possessive,,,,kusa1251,,TryonHackman1983
goe,,2sg_a,2nd singular transitive subject,,,,kusa1251,,TryonHackman1983
goe,,2sg_s,2nd singular intransitive subject,,,,kusa1251,,TryonHackman1983
goe,,2sg_o,2nd singular transitive object,,,,kusa1251,,TryonHackman1983
mua,,2sg_p,2nd singular possessive,,,,kusa1251,,TryonHackman1983
gamu,,2du_a,2nd dual transitive subject,,,,kusa1251,,TryonHackman1983
gamu,,2du_s,2nd dual intransitive subject,,,,kusa1251,,TryonHackman1983
gamu,,2du_o,2nd dual transitive object,,,,kusa1251,,TryonHackman1983
mi,,2du_p,2nd dual possessive,,,,kusa1251,,TryonHackman1983
gamu,,2pl_a,2nd plural transitive subject,,,,kusa1251,,TryonHackman1983
gamu,,2pl_s,2nd plural intransitive subject,,,,kusa1251,,TryonHackman1983
gamu,,2pl_o,2nd plural transitive object,,,,kusa1251,,TryonHackman1983
mi,,2pl_p,2nd plural possessive,,,,kusa1251,,TryonHackman1983
isa,,3sg_m_a,3rd singular gender1 transitive subject,,,,kusa1251,,TryonHackman1983
isa,,3sg_m_s,3rd singular gender1 intransitive subject,,,,kusa1251,,TryonHackman1983
isa,,3sg_m_o,3rd singular gender1 transitive object,,,,kusa1251,,TryonHackman1983
nana,,3sg_m_p,3rd singular gender1 possessive,,,,kusa1251,,TryonHackman1983
isa,,3sg_f_a,3rd singular gender2 transitive subject,,,,kusa1251,,TryonHackman1983
isa,,3sg_f_s,3rd singular gender2 intransitive subject,,,,kusa1251,,TryonHackman1983
isa,,3sg_f_o,3rd singular gender2 transitive object,,,,kusa1251,,TryonHackman1983
nana,,3sg_f_p,3rd singular gender2 possessive,,,,kusa1251,,TryonHackman1983
ria karu,,3d-a,3rd dual transitive subject,,,,kusa1251,,TryonHackman1983
ria karu,,3d-s,3rd dual intransitive subject,,,,kusa1251,,TryonHackman1983
ria karu,,3d-o,3rd dual transitive object,,,,kusa1251,,TryonHackman1983
dia,,3d-p,3rd dual possessive,,,,kusa1251,,TryonHackman1983
ria,,3p-a,3rd plural transitive subject,,,,kusa1251,,TryonHackman1983
ria,,3p-s,3rd plural intransitive subject,,,,kusa1251,,TryonHackman1983
ria,,3p-o,3rd plural transitive object,,,,kusa1251,,TryonHackman1983
dia,,3p-p,3rd plural possessive,,,,kusa1251,,TryonHackman1983
