word,ipa,parameter,description,alternative,comment,translation,glottocode,source
qaku,,1sg_a,1st singular transitive subject,,,,biko1240,McFarland1974
qaku,,1sg_s,1st singular intransitive subject,,,,biko1240,McFarland1974
"sakuq, saku:yaq",,1sg_o,1st singular transitive object,,,,biko1240,McFarland1974
ku,,1sg_p,1st singular possessive,,,,biko1240,McFarland1974
kita,,12du_a,1st dual inclusive transitive subject,,,,biko1240,McFarland1974
kita,,12du_s,1st dual inclusive intransitive subject,,,,biko1240,McFarland1974
"satuq, satu:yaq",,12du_o,1st dual inclusive transitive object,,,,biko1240,McFarland1974
ta,,12du_p,1st dual inclusive possessive,,,,biko1240,McFarland1974
kami,,1du_a,1st dual exclusive transitive subject,,,,biko1240,McFarland1974
kami,,1du_s,1st dual exclusive intransitive subject,,,,biko1240,McFarland1974
"samuq, samu:yaq",,1du_o,1st dual exclusive transitive object,,,,biko1240,McFarland1974
mi,,1du_p,1st dual exclusive possessive,,,,biko1240,McFarland1974
kita,,12pl_a,1st plural inclusive transitive subject,,,,biko1240,McFarland1974
kita,,12pl_s,1st plural inclusive intransitive subject,,,,biko1240,McFarland1974
"satuq, satu:yaq",,12pl_o,1st plural inclusive transitive object,,,,biko1240,McFarland1974
ta,,12pl_p,1st plural inclusive possessive,,,,biko1240,McFarland1974
kami,,1pl_a,1st plural exclusive transitive subject,,,,biko1240,McFarland1974
kami,,1pl_s,1st plural exclusive intransitive subject,,,,biko1240,McFarland1974
"samuq, samu:yaq",,1pl_o,1st plural exclusive transitive object,,,,biko1240,McFarland1974
mi,,1pl_p,1st plural exclusive possessive,,,,biko1240,McFarland1974
"qika, ka",,2sg_a,2nd singular transitive subject,,,,biko1240,McFarland1974
"qika, ka",,2sg_s,2nd singular intransitive subject,,,,biko1240,McFarland1974
saqi:mu,,2sg_o,2nd singular transitive object,,,,biko1240,McFarland1974
mu,,2sg_p,2nd singular possessive,,,,biko1240,McFarland1974
kamu,,2du_a,2nd dual transitive subject,,,,biko1240,McFarland1974
kamu,,2du_s,2nd dual intransitive subject,,,,biko1240,McFarland1974
saqindu,,2du_o,2nd dual transitive object,,,,biko1240,McFarland1974
nindu,,2du_p,2nd dual possessive,,,,biko1240,McFarland1974
kamu,,2pl_a,2nd plural transitive subject,,,,biko1240,McFarland1974
kamu,,2pl_s,2nd plural intransitive subject,,,,biko1240,McFarland1974
saqindu,,2pl_o,2nd plural transitive object,,,,biko1240,McFarland1974
nindu,,2pl_p,2nd plural possessive,,,,biko1240,McFarland1974
sya,,3sg_m_a,3rd singular gender1 transitive subject,,,,biko1240,McFarland1974
sya,,3sg_m_s,3rd singular gender1 intransitive subject,,,,biko1240,McFarland1974
saqi:ya,,3sg_m_o,3rd singular gender1 transitive object,,,,biko1240,McFarland1974
nya,,3sg_m_p,3rd singular gender1 possessive,,,,biko1240,McFarland1974
sya,,3sg_f_a,3rd singular gender2 transitive subject,,,,biko1240,McFarland1974
sya,,3sg_f_s,3rd singular gender2 intransitive subject,,,,biko1240,McFarland1974
saqi:ya,,3sg_f_o,3rd singular gender2 transitive object,,,,biko1240,McFarland1974
nya,,3sg_f_p,3rd singular gender2 possessive,,,,biko1240,McFarland1974
sinda,,3d-a,3rd dual transitive subject,,,,biko1240,McFarland1974
sinda,,3d-s,3rd dual intransitive subject,,,,biko1240,McFarland1974
saqinda,,3d-o,3rd dual transitive object,,,,biko1240,McFarland1974
ninda,,3d-p,3rd dual possessive,,,,biko1240,McFarland1974
sinda,,3p-a,3rd plural transitive subject,,,,biko1240,McFarland1974
sinda,,3p-s,3rd plural intransitive subject,,,,biko1240,McFarland1974
saqinda,,3p-o,3rd plural transitive object,,,,biko1240,McFarland1974
ninda,,3p-p,3rd plural possessive,,,,biko1240,McFarland1974
