word,ipa,parameter,description,alternative,comment,translation,glottocode,source
yegu,,1sg_a,1st singular transitive subject,,,,kili1267,Senft1986;Lawton1993
yegu,,1sg_s,1st singular intransitive subject,,,,kili1267,Senft1986;Lawton1993
-gu,,1sg_o,1st singular transitive object,,,,kili1267,Senft1986;Lawton1993
"agu, ula",,1sg_p,1st singular possessive,,,,kili1267,Senft1986;Lawton1993
yakida,,12du_a,1st dual inclusive transitive subject,,,,kili1267,Senft1986;Lawton1993
yakida,,12du_s,1st dual inclusive intransitive subject,,,,kili1267,Senft1986;Lawton1993
-da,,12du_o,1st dual inclusive transitive object,,-Si marks plural reference more generally. This can cause ambiguity of subject/object person.,,kili1267,Senft1986;Lawton1993
"ada, da",,12du_p,1st dual inclusive possessive,,,,kili1267,Senft1986;Lawton1993
yakama,,1du_a,1st dual exclusive transitive subject,,,,kili1267,Senft1986;Lawton1993
yakama,,1du_s,1st dual exclusive intransitive subject,,,,kili1267,Senft1986;Lawton1993
-ma,,1du_o,1st dual exclusive transitive object,,,,kili1267,Senft1986;Lawton1993
"ama, ma",,1du_p,1st dual exclusive possessive,,,,kili1267,Senft1986;Lawton1993
yakidasi,,12pl_a,1st plural inclusive transitive subject,,,,kili1267,Senft1986;Lawton1993
yakidasi,,12pl_s,1st plural inclusive intransitive subject,,,,kili1267,Senft1986;Lawton1993
-dasi,,12pl_o,1st plural inclusive transitive object,,,,kili1267,Senft1986;Lawton1993
"kadesi, da - -si",,12pl_p,1st plural inclusive possessive,,,,kili1267,Senft1986;Lawton1993
yakamesi,,1pl_a,1st plural exclusive transitive subject,,,,kili1267,Senft1986;Lawton1993
yakamesi,,1pl_s,1st plural exclusive intransitive subject,,,,kili1267,Senft1986;Lawton1993
-masi,,1pl_o,1st plural exclusive transitive object,,,,kili1267,Senft1986;Lawton1993
"kamesi, ma - -si",,1pl_p,1st plural exclusive possessive,,,,kili1267,Senft1986;Lawton1993
yokwa,,2sg_a,2nd singular transitive subject,,,,kili1267,Senft1986;Lawton1993
yokwa,,2sg_s,2nd singular intransitive subject,,,,kili1267,Senft1986;Lawton1993
-m,,2sg_o,2nd singular transitive object,,,,kili1267,Senft1986;Lawton1993
"am, m",,2sg_p,2nd singular possessive,,,,kili1267,Senft1986;Lawton1993
yokwami,,2du_a,2nd dual transitive subject,,,,kili1267,Senft1986;Lawton1993
yokwami,,2du_s,2nd dual intransitive subject,,,,kili1267,Senft1986;Lawton1993
-mi,,2du_o,2nd dual transitive object,,,,kili1267,Senft1986;Lawton1993
"ami, mi",,2du_p,2nd dual possessive,,,,kili1267,Senft1986;Lawton1993
yokwami,,2pl_a,2nd plural transitive subject,,,,kili1267,Senft1986;Lawton1993
yokwami,,2pl_s,2nd plural intransitive subject,,,,kili1267,Senft1986;Lawton1993
-mi,,2pl_o,2nd plural transitive object,,,,kili1267,Senft1986;Lawton1993
"ami, mi",,2pl_p,2nd plural possessive,,,,kili1267,Senft1986;Lawton1993
mtona,,3sg_m_a,3rd singular gender1 transitive subject,,,,kili1267,Senft1986;Lawton1993
mtona,,3sg_m_s,3rd singular gender1 intransitive subject,,,,kili1267,Senft1986;Lawton1993
-la,,3sg_m_o,3rd singular gender1 transitive object,,Zero form,,kili1267,Senft1986;Lawton1993
"ala, la",,3sg_m_p,3rd singular gender1 possessive,,,,kili1267,Senft1986;Lawton1993
minana,,3sg_f_a,3rd singular gender2 transitive subject,,,,kili1267,Senft1986;Lawton1993
minana,,3sg_f_s,3rd singular gender2 intransitive subject,,,,kili1267,Senft1986;Lawton1993
-la,,3sg_f_o,3rd singular gender2 transitive object,,Zero form,,kili1267,Senft1986;Lawton1993
"ala, la",,3sg_f_p,3rd singular gender2 possessive,,,,kili1267,Senft1986;Lawton1993
"mtosina, minasina",,3d-a,3rd dual transitive subject,,,,kili1267,Senft1986;Lawton1993
"mtosina, minasina",,3d-s,3rd dual intransitive subject,,,,kili1267,Senft1986;Lawton1993
-si,,3d-o,3rd dual transitive object,,Zero form,,kili1267,Senft1986;Lawton1993
"asi, si",,3d-p,3rd dual possessive,,,,kili1267,Senft1986;Lawton1993
"mtosina, minasina",,3p-a,3rd plural transitive subject,,,,kili1267,Senft1986;Lawton1993
"mtosina, minasina",,3p-s,3rd plural intransitive subject,,,,kili1267,Senft1986;Lawton1993
-si,,3p-o,3rd plural transitive object,,Zero form,,kili1267,Senft1986;Lawton1993
"asi, si",,3p-p,3rd plural possessive,,,,kili1267,Senft1986;Lawton1993
