word,ipa,parameter,description,alternative,comment,translation,glottocode,source
ik,,1sg_a,1st singular transitive subject,,,,acht1238,
ik,,1sg_s,1st singular intransitive subject,,,,acht1238,
mij,,1sg_o,1st singular intransitive subject,,,,acht1238,
mien,,1sg_p,1st singular possessive,,,,acht1238,
wij,,12du_a,1st dual inclusive transitive subject,,,,acht1238,
wij,,12du_s,1st dual inclusive intransitive subject,,,,acht1238,
oons,,12du_o,1st dual inclusive intransitive subject,,,,acht1238,
oons,,12du_p,1st dual inclusive possessive,,,,acht1238,
wij,,1du_a,1st dual exclusive transitive subject,,,,acht1238,
wij,,1du_s,1st dual exclusive intransitive subject,,,,acht1238,
oons,,1du_o,1st dual exclusive intransitive subject,,,,acht1238,
oons,,1du_p,1st dual exclusive possessive,,,,acht1238,
wij,,12pl_a,1st plural inclusive transitive subject,,,,acht1238,
wij,,12pl_s,1st plural inclusive intransitive subject,,,,acht1238,
oons,,12pl_o,1st plural inclusive intransitive subject,,,,acht1238,
oons,,12pl_p,1st plural inclusive possessive,,,,acht1238,
wij,,1pl_a,1st plural exclusive transitive subject,,,,acht1238,
wij,,1pl_s,1st plural exclusive intransitive subject,,,,acht1238,
oons,,1pl_o,1st plural exclusive intransitive subject,,,,acht1238,
oons,,1pl_p,1st plural exclusive possessive,,,,acht1238,
dów,,2sg_a,2nd singular transitive subject,,,,acht1238,
dów,,2sg_s,2nd singular intransitive subject,,,,acht1238,
dij,,2sg_o,2nd singular intransitive subject,,,,acht1238,
dien,,2sg_p,2nd singular possessive,,,,acht1238,
ij,,2du_a,2nd dual transitive subject,,,,acht1238,
ij,,2du_s,2nd dual intransitive subject,,,,acht1238,
ów,,2du_o,2nd dual intransitive subject,,,,acht1238,
ów,,2du_p,2nd dual possessive,,,,acht1238,
ij,,2pl_a,2nd plural transitive subject,,,,acht1238,
ij,,2pl_s,2nd plural intransitive subject,,,,acht1238,
ów,,2pl_o,2nd plural intransitive subject,,,,acht1238,
ów,,2pl_p,2nd plural possessive,,,,acht1238,
hee,,3sg_m_a,3rd singular gender1 transitive subject,,,,acht1238,
hee,,3sg_m_s,3rd singular gender1 intransitive subject,,,,acht1238,
nə,,3sg_m_o,3rd singular gender1 intransitive subject,,,,acht1238,
zien,,3sg_m_p,3rd singular gender1 possessive,,,,acht1238,
zee,,3sg_f_a,3rd singular gender2 transitive subject,,,,acht1238,
zee,,3sg_f_s,3rd singular gender2 intransitive subject,,,,acht1238,
zə,,3sg_f_o,3rd singular gender2 intransitive subject,,,,acht1238,
zien,,3sg_f_p,3rd singular gender2 possessive,,,,acht1238,
zee,,3d-a,3rd dual transitive subject,,,,acht1238,
zee,,3d-s,3rd dual intransitive subject,,,,acht1238,
zə,,3d-o,3rd dual intransitive subject,,,,acht1238,
ir,,3d-p,3rd dual possessive,,,,acht1238,
zee,,3p-a,3rd plural transitive subject,,,,acht1238,
zee,,3p-s,3rd plural intransitive subject,,,,acht1238,
zə,,3p-o,3rd plural intransitive subject,,,,acht1238,
ir,,3p-p,3rd plural possessive,,,,acht1238,
