word,ipa,parameter,description,alternative,comment,translation,glottocode,source
ai,,1sg_a,1st singular transitive subject,,,,krio1252,SchultzeBerndt2013
ai,,1sg_s,1st singular intransitive subject,,,,krio1252,SchultzeBerndt2013
mi,,1sg_o,1st singular transitive object,,,,krio1252,SchultzeBerndt2013
main,,1sg_p,1st singular possessive,,,,krio1252,SchultzeBerndt2013
yunmi,,12du_a,1st dual inclusive transitive subject,,,,krio1252,SchultzeBerndt2013
yunmi,,12du_s,1st dual inclusive intransitive subject,,,,krio1252,SchultzeBerndt2013
yunmi,,12du_o,1st dual inclusive transitive object,,,,krio1252,SchultzeBerndt2013
yunmi,,12du_p,1st dual inclusive possessive,,,,krio1252,SchultzeBerndt2013
mindubala,,1du_a,1st dual exclusive transitive subject,,,,krio1252,SchultzeBerndt2013
mindubala,,1du_s,1st dual exclusive intransitive subject,,,,krio1252,SchultzeBerndt2013
mindubala,,1du_o,1st dual exclusive transitive object,,,,krio1252,SchultzeBerndt2013
mindubala,,1du_p,1st dual exclusive possessive,,,,krio1252,SchultzeBerndt2013
minolabat,,12pl_a,1st plural inclusive transitive subject,,,,krio1252,SchultzeBerndt2013
minolabat,,12pl_s,1st plural inclusive intransitive subject,,,,krio1252,SchultzeBerndt2013
minolabat,,12pl_o,1st plural inclusive transitive object,,,,krio1252,SchultzeBerndt2013
minolabat,,12pl_p,1st plural inclusive possessive,,,,krio1252,SchultzeBerndt2013
mibala,,1pl_a,1st plural exclusive transitive subject,,,,krio1252,SchultzeBerndt2013
mibala,,1pl_s,1st plural exclusive intransitive subject,,,,krio1252,SchultzeBerndt2013
mibala,,1pl_o,1st plural exclusive transitive object,,,,krio1252,SchultzeBerndt2013
mibala,,1pl_p,1st plural exclusive possessive,,,,krio1252,SchultzeBerndt2013
yu,,2sg_a,2nd singular transitive subject,,,,krio1252,SchultzeBerndt2013
yu,,2sg_s,2nd singular intransitive subject,,,,krio1252,SchultzeBerndt2013
yu,,2sg_o,2nd singular transitive object,,,,krio1252,SchultzeBerndt2013
yu,,2sg_p,2nd singular possessive,,,,krio1252,SchultzeBerndt2013
yundubala,,2du_a,2nd dual transitive subject,,,,krio1252,SchultzeBerndt2013
yundubala,,2du_s,2nd dual intransitive subject,,,,krio1252,SchultzeBerndt2013
yundubala,,2du_o,2nd dual transitive object,,,,krio1252,SchultzeBerndt2013
yundubala,,2du_p,2nd dual possessive,,,,krio1252,SchultzeBerndt2013
yubala,,2pl_a,2nd plural transitive subject,,,,krio1252,SchultzeBerndt2013
yubala,,2pl_s,2nd plural intransitive subject,,,,krio1252,SchultzeBerndt2013
yubala,,2pl_o,2nd plural transitive object,,,,krio1252,SchultzeBerndt2013
yubala,,2pl_p,2nd plural possessive,,,,krio1252,SchultzeBerndt2013
im,,3sg_m_a,3rd singular gender1 transitive subject,,,,krio1252,SchultzeBerndt2013
im,,3sg_m_s,3rd singular gender1 intransitive subject,,,,krio1252,SchultzeBerndt2013
im,,3sg_m_o,3rd singular gender1 transitive object,,,,krio1252,SchultzeBerndt2013
im,,3sg_m_p,3rd singular gender1 possessive,,,,krio1252,SchultzeBerndt2013
im,,3sg_f_a,3rd singular gender2 transitive subject,,,,krio1252,SchultzeBerndt2013
im,,3sg_f_s,3rd singular gender2 intransitive subject,,,,krio1252,SchultzeBerndt2013
im,,3sg_f_o,3rd singular gender2 transitive object,,,,krio1252,SchultzeBerndt2013
im,,3sg_f_p,3rd singular gender2 possessive,,,,krio1252,SchultzeBerndt2013
