word,ipa,parameter,description,alternative,comment,translation,glottocode,source
,azəːm,1sg_a,1st singular transitive subject,,,,aves1237,Hoffman2019
,azəːm,1sg_s,1st singular intransitive subject,,,,aves1237,Hoffman2019
,mãm,1sg_o,1st singular transitive object,,,,aves1237,Hoffman2019
,məːnaː,1sg_p,1st singular possessive,,,,aves1237,Hoffman2019
,vaː,12du_a,1st dual inclusive transitive subject,,,,aves1237,Hoffman2019
,vaː,12du_s,1st dual inclusive intransitive subject,,,,aves1237,Hoffman2019
,aːuuaː,12du_o,1st dual inclusive transitive object,,,,aves1237,Hoffman2019
,naː ,12du_p,1st dual inclusive possessive,,,,aves1237,Hoffman2019
,vaː,1du_a,1st dual exclusive transitive subject,,,,aves1237,Hoffman2019
,vaː,1du_s,1st dual exclusive intransitive subject,,,,aves1237,Hoffman2019
,aːuuaː,1du_o,1st dual exclusive transitive object,,,,aves1237,Hoffman2019
,|naː ,1du_p,1st dual exclusive possessive,,Here and elsewhere I use | before enclitic forms, since XL treats the equalis sign as part ofa mathematic formula,,aves1237,Hoffman2019
,vaeːm,12pl_a,1st plural inclusive transitive subject,,,,aves1237,Hoffman2019
,vaeːm,12pl_s,1st plural inclusive intransitive subject,,,,aves1237,Hoffman2019
,əːhmaː,12pl_o,1st plural inclusive transitive object,,,,aves1237,Hoffman2019
,|nəː,12pl_p,1st plural inclusive possessive,,,,aves1237,Hoffman2019
,vaeːm,1pl_a,1st plural exclusive transitive subject,,,,aves1237,Hoffman2019
,vaeːm,1pl_s,1st plural exclusive intransitive subject,,,,aves1237,Hoffman2019
,əːhmaː,1pl_o,1st plural exclusive transitive object,,,,aves1237,Hoffman2019
,|nəː,1pl_p,1st plural exclusive possessive,,,,aves1237,Hoffman2019
,tuː,2sg_a,2nd singular transitive subject,,,,aves1237,Hoffman2019
,tuː,2sg_s,2nd singular intransitive subject,,,,aves1237,Hoffman2019
,θβãm,2sg_o,2nd singular transitive object,,,,aves1237,Hoffman2019
,|tōi,2sg_p,2nd singular possessive,,,,aves1237,Hoffman2019
,?,2du_a,2nd dual transitive subject,,Unknown,,aves1237,Hoffman2019
,?,2du_s,2nd dual intransitive subject,,Unknown,,aves1237,Hoffman2019
,?,2du_o,2nd dual transitive object,,Unknown,,aves1237,Hoffman2019
,yauuākəm,2du_p,2nd dual possessive,,,,aves1237,Hoffman2019
,yuːʃ,2pl_a,2nd plural transitive subject,,,,aves1237,Hoffman2019
,yuːʃ,2pl_s,2nd plural intransitive subject,,,,aves1237,Hoffman2019
,|vãː,2pl_o,2nd plural transitive object,,,,aves1237,Hoffman2019
,|vəː,2pl_p,2nd plural possessive,,,,aves1237,Hoffman2019
,hī ,3sg_m_a,3rd singular gender1 transitive subject,,,,aves1237,Hoffman2019
,hī ,3sg_m_s,3rd singular gender1 intransitive subject,,,,aves1237,Hoffman2019
,|hīm, |īm,3sg_m_o,3rd singular gender1 transitive object,,Bother variants can be used for either masc or fem in the accusative,,aves1237,Hoffman2019
,|hōi,3sg_m_p,3rd singular gender1 possessive,,,,aves1237,Hoffman2019
,hī ,3sg_f_a,3rd singular gender2 transitive subject,,,,aves1237,Hoffman2019
,hī ,3sg_f_s,3rd singular gender2 intransitive subject,,,,aves1237,Hoffman2019
,|hīm, |īm,3sg_f_o,3rd singular gender2 transitive object,,,,aves1237,Hoffman2019
,|hōi,3sg_f_p,3rd singular gender2 possessive,,,,aves1237,Hoffman2019
,?,3d-a,3rd dual transitive subject,,Unknown,,aves1237,Hoffman2019
,?,3d-s,3rd dual intransitive subject,,Unknown,,aves1237,Hoffman2019
,ī ,3d-o,3rd dual transitive object,,,,aves1237,Hoffman2019
,?,3d-p,3rd dual possessive,,Unknown,,aves1237,Hoffman2019
,?,3p-a,3rd plural transitive subject,,Unknown,,aves1237,Hoffman2019
,?,3p-s,3rd plural intransitive subject,,Unknown,,aves1237,Hoffman2019
,īʃ,3p-o,3rd plural transitive object,,,,aves1237,Hoffman2019
,?,3p-p,3rd plural possessive,,Unknown,,aves1237,Hoffman2019
,,3du_m_a,3rd dual gender1 transitive subject,,No gender even in singular; no distinctions in dual or plural so not entered here,,aves1237,Hoffman2019
,,3du_m_s,3rd dual gender1 intransitive subject,,,,aves1237,Hoffman2019
,,3du_m_o,3rd dual gender1 transitive object,,,,aves1237,Hoffman2019
,,3du_m_p,3rd dual gender1 possessive,,,,aves1237,Hoffman2019
,,3du_f_a,3rd dual gender2 transitive subject,,,,aves1237,Hoffman2019
,,3du_f_s,3rd dual gender2 intransitive subject,,,,aves1237,Hoffman2019
,,3du_f_o,3rd dual gender2 transitive object,,,,aves1237,Hoffman2019
,,3du_f_p,3rd dual gender2 possessive,,,,aves1237,Hoffman2019
,,3du_n_a,3rd dual gender3 transitive subject,,,,aves1237,Hoffman2019
,,3du_n_s,3rd dual gender3 intransitive subject,,,,aves1237,Hoffman2019
