word,ipa,parameter,description,alternative,comment,translation,glottocode,source
ayinga,,1sg_a,1st singular transitive subject,,,,alya1239,"Yallop, Colin. (1977) Alyawarra: An Aboriginal Language of Central Australia"
atha,,1sg_s,1st singular intransitive subject,,,,alya1239,(Australian Aboriginal Studies: Research and Regional Studies
ayinha,,1sg_o,1st singular intransitive subject,,,,alya1239,10). Canberra: Australian Institute of Aboriginal Studies. Publication
atjinha,,1sg_p,1st singular possessive,,,,alya1239,"of 1970 A description of the Aljawara language, PhD MacQuarie"
ayla,,12du_a,1st dual inclusive transitive subject,,,,alya1239,U. 
ayla,,12du_s,1st dual inclusive intransitive subject,,,,alya1239,
aylinha,,12du_o,1st dual inclusive intransitive subject,,,,alya1239,
aylikinha,,12du_p,1st dual inclusive possessive,,,,alya1239,
aylina,,1du_a,1st dual exclusive transitive subject,,,,alya1239,
aylina,,1du_s,1st dual exclusive intransitive subject,,,,alya1239,
aylininha,,1du_o,1st dual exclusive intransitive subject,,,,alya1239,
aylinikinha,,1du_p,1st dual exclusive possessive,,,,alya1239,
anwiyngkirra,,12pl_a,1st plural inclusive transitive subject,,,,alya1239,
anwiyngkirra,,12pl_s,1st plural inclusive intransitive subject,,,,alya1239,
anunhiyngkirra,,12pl_o,1st plural inclusive intransitive subject,,,,alya1239,
anukiyngkirra,,12pl_p,1st plural inclusive possessive,,,,alya1239,
anuniyngkirra,,1pl_a,1st plural exclusive transitive subject,,,,alya1239,
anuniyngkirra,,1pl_s,1st plural exclusive intransitive subject,,,,alya1239,
anuninhiyngkirra,,1pl_o,1st plural exclusive intransitive subject,,,,alya1239,
anunikiyngkirra,,1pl_p,1st plural exclusive possessive,,,,alya1239,
nga,,2sg_a,2nd singular transitive subject,,,,alya1239,
unta,,2sg_s,2nd singular intransitive subject,,,,alya1239,
nginha,,2sg_o,2nd singular intransitive subject,,,,alya1239,
ngkunha,,2sg_p,2nd singular possessive,,,,alya1239,
mpula,,2du_a,2nd dual transitive subject,,,,alya1239,
mpula,,2du_s,2nd dual intransitive subject,,,,alya1239,
mpulinha,,2du_o,2nd dual intransitive subject,,,,alya1239,
mpulikinha,,2du_p,2nd dual possessive,,,,alya1239,
arriyngkirra,,2pl_a,2nd plural transitive subject,,,,alya1239,
arriyngkirra,,2pl_s,2nd plural intransitive subject,,,,alya1239,
arrinhiyngkirra,,2pl_o,2nd plural intransitive subject,,,,alya1239,
arrikiyngkirra,,2pl_p,2nd plural possessive,,,,alya1239,
ra,,3sg_m_a,3rd singular gender1 transitive subject,,,,alya1239,
ra,,3sg_m_s,3rd singular gender1 intransitive subject,,,,alya1239,
rinha,,3sg_m_o,3rd singular gender1 intransitive subject,,,,alya1239,
ikurinha,,3sg_m_p,3rd singular gender1 possessive,,,,alya1239,
ra,,3sg_f_a,3rd singular gender2 transitive subject,,,,alya1239,
ra,,3sg_f_s,3rd singular gender2 intransitive subject,,,,alya1239,
rinha,,3sg_f_o,3rd singular gender2 intransitive subject,,,,alya1239,
ikurinha,,3sg_f_p,3rd singular gender2 possessive,,,,alya1239,
rathirra,,3d-a,3rd dual transitive subject,,,,alya1239,
rathirra,,3d-s,3rd dual intransitive subject,,,,alya1239,
rinhathirra,,3d-o,3rd dual intransitive subject,,,,alya1239,
ikurathirrinha,,3d-p,3rd dual possessive,,,,alya1239,
aytniyngkirra,,3p-a,3rd plural transitive subject,,,,alya1239,
aytniyngkirra,,3p-s,3rd plural intransitive subject,,,,alya1239,
aytninhiyngkirra,,3p-o,3rd plural intransitive subject,,,,alya1239,
aytnikiyngkirra,,3p-p,3rd plural possessive,,,,alya1239,
