word,ipa,parameter,description,localid,alternative,comment,translation,glottocode,source
yal,,12pl_o,1st plural inclusive transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"yaʔkhe, yal",,12pl_p,1st plural inclusive possessive,,,"`yaʔkhe' = alienable possession, `yal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ya,,1pl_a,1st plural exclusive transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ya, yal",,1pl_s,1st plural exclusive intransitive subject,,,"`ya' is used for agentive S, `yal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
yal,,1pl_o,1st plural exclusive transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"yaʔkhe, yal",,1pl_p,1st plural exclusive possessive,,,"`yaʔkhe' = alienable possession, `yal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
ma,,2sg_a,2nd singular transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"ma, mito",,2sg_s,2nd singular intransitive subject,,,"`ma' is used for agentive S, `mito' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
mito,,2sg_o,2nd singular transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"miʔkhe, mito",,2sg_p,2nd singular possessive,,,"`miʔkhe' = alienable possession, `mito' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
maya,,2du_a,2nd dual transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"maya, mayal",,2du_s,2nd dual intransitive subject,,,"`maya' is used for agentive S, `mayal' is used for patientive S",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
mayal,,2du_o,2nd dual transitive object,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
"mayaʔkhe, mayal",,2du_p,2nd dual possessive,,,"`mayaʔkhe' = alienable possession, `mayal' = inalienable possession",,kash1280,Oswalt1961;Olsson2010;Oswalt1964
maya,,2pl_a,2nd plural transitive subject,,,,,kash1280,Oswalt1961;Olsson2010;Oswalt1964
